Fertility,Magma_Series,Deposit,AUTHOR,Si,Al,Fe,Mg,Ca,Na,K,Ti,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
1,CA,Chuquicamata,Ballard,317061.1066,82192.63265,13778.55227,3377.001022,9648.32535,42730.99062,32292.74852,1558.291534,154.891527,393,4.96,18.8,33.6,3.53,12.8,2.04,0.5,1.22,0.14,0.78,0.14,0.39,0.06615592,0.47,0.08
1,CA,Chuquicamata,Ballard,314116.2666,84574.26077,19723.61289,3799.12615,13150.31011,29006.62732,33703.99975,1738.094403,77.44576352,440,5.57,,30.8,3.25,12,1.95,0.5,1.27,0.16,0.96,0.19,0.52,0.086162345,0.6,0.1
1,CA,Chuquicamata,Ballard,329401.3885,86267.86299,5735.234955,1025.161025,1500.85061,38057.28852,41507.38885,1378.488665,77.44576352,164,4.99,19.4,34.9,3.54,12.2,1.91,0.52,1.15,0.13,0.67,0.12,0.35,0.06306842,0.47,0.07
1,CA,Chuquicamata,Ballard,320847.3295,84097.93515,6154.886293,3196.090253,14722.62979,14985.52102,59604.61039,1438.422955,309.7830541,282,4.67,15.4,28.3,3.06,11,1.79,0.46,1.2,0.15,0.78,0.15,0.46,0.077695691,0.55,0.08
1,CA,Chuquicamata,Ballard,348005.2984,70231.56698,8532.910543,1929.71487,1572.319687,21513.86681,50555.99962,1198.685795,0.007744576,271,4.83,12.8,24.4,2.62,9.5,1.58,0.41,1.08,0.13,0.79,0.16,0.45,0.073088412,0.5,0.08
1,CA,Chuquicamata,Ballard,346135.5587,74783.12295,4126.571492,2532.750767,2572.88676,25223.15419,46405.26073,1438.422955,77.44576352,315,3.95,11.8,21,2.25,7.8,1.16,0.4,0.85,0.11,0.71,0.12,0.36,0.060004891,0.42,0.07
1,CA,Chuquicamata,Ballard,351137.1124,66738.51241,4406.339051,2050.322049,3573.453833,16691.79321,51967.25084,1198.685795,77.44576352,237,4.93,18,30.6,3.12,11.5,1.83,0.48,1.3,0.15,0.85,0.16,0.48,0.073869876,0.48,0.07
1,CA,Chuquicamata,Ballard,320146.1771,85368.13681,12519.59826,2170.929229,15723.19687,35980.08759,32126.71897,1318.554375,619.5661082,438,3.93,9,16.4,1.78,6.4,1.05,0.38,0.81,0.11,0.7,0.13,0.36,0.060771972,0.43,0.07
1,CA,Chuquicamata,Ballard,314349.9841,85791.53736,13219.01715,2713.661536,11077.70688,23220.139,52880.41339,1378.488665,2245.927142,686,4.12,12.2,22.9,2.48,9.1,1.39,0.38,0.95,0.12,0.76,0.14,0.42,0.069238626,0.48,0.07
1,CA,Chuquicamata,Ballard,322202.8908,81504.60675,2657.791808,2110.625639,15437.32056,22997.58176,58691.44783,1018.882926,77.44576352,594,4.67,12.5,23.8,2.63,9.6,1.56,0.42,1.09,0.14,0.8,0.15,0.42,0.069238626,0.48,0.08
1,CA,Chuquicamata,Ballard,329401.3885,82668.95827,6504.595742,2954.875894,1715.25784,34125.4439,40843.27063,1318.554375,77.44576352,159,6.06,20.7,36.9,3.76,13.4,2.04,0.52,1.36,0.17,1.05,0.19,0.57,0.096158366,0.68,0.11
1,CA,Chuquicamata,Ballard,320005.9466,82245.55772,7763.549756,3557.911791,13722.06272,37983.10278,36028.41352,1318.554375,77.44576352,393,3.96,13.4,25.2,2.74,9.8,1.59,0.41,1.05,0.14,0.73,0.13,0.36,0.060771972,0.43,0.07
1,CA,Chuquicamata,Ballard,331177.6412,84521.3357,10211.5159,2653.357946,16009.07317,37018.68806,26149.65497,1198.685795,154.891527,657,5.79,11.3,20.4,2.16,8,1.34,0.47,0.88,0.11,0.62,0.11,0.31,0.05000887,0.34,0.05
1,CA,Chuquicamata,Ballard,323324.7346,83198.20897,8812.678102,2231.232818,6575.155054,37018.68806,38020.76819,1078.817216,464.6745811,237,3.78,,23.3,2.47,8.8,1.44,0.4,0.99,0.11,0.66,0.12,0.33,0.055388024,0.39,0.06
0,CA,Corrocohuayco,Chelle Michou et al,222218.5613,106273.5392,79591.97385,26654.18664,83332.9434,19955.96611,2656.472886,6532.837585,929.3491622,490,11.99,4.54,10.5,1.38,6.32,1.89,0.74,2.07,0.36,2.19,0.455,1.29,0.193,1.39,0.175
